TIME;LC_INIT
744.15;0.0033065157
744.1704;0.0035867568
744.1909;0.0030690655
744.2113;0.0027518533
744.2317;0.0024379755
744.2522;0.001907108
744.2726;0.0017612583
744.293;0.0010229981
744.3135;0.0010430621
744.3339;0.00071064004
744.3543;0.00081081403
744.3748;0.0005512637
744.3952;0.0004052504
744.4156;-0.00022126282
744.4361;-8.310815e-05
744.4565;-0.00029410486
744.4769;-0.00024077803
744.4974;-8.0420585e-05
744.5178;-0.00071238365
744.5382;-0.0008993071
744.5587;-0.0009895288
744.5791;-0.00085080584
744.5995;-0.0011132855
744.62;-0.00056099787
744.6404;-0.0008637363
744.6608;-0.0013326328
744.6813;-0.0007042203
744.7017;-0.0006576452
744.7221;-0.00048321893
744.7426;-0.00041240762
744.763;-0.00032004385
744.7834;-0.000115444294
744.8039;0.00020537626
744.8243;0.0007431861
744.8447;-0.003635343
744.8652;-0.03973637
744.8856;-0.07479979
744.906;-0.083108686
744.9265;-0.08118615
744.9469;-0.06493678
744.9673;-0.02403162
744.9878;0.0028506368
745.0082;0.0045574885
745.0286;0.004492558
745.0491;0.0051180413
745.0695;0.0053682663
745.0899;0.0055070682
745.1104;0.006242835
745.1308;0.0062370314
745.1512;0.006581437
745.1717;0.007119164
745.1921;0.007343525
745.2125;0.0075720344
745.233;0.007812255
745.2534;0.0077543184
745.2738;0.008206974
745.2943;0.008779347
745.3147;0.008806564
745.3351;0.009080292
745.3556;0.00973367
745.376;0.00936375
745.3964;0.009583231
745.4169;0.009490566
745.4373;0.009651327
745.4577;0.009799399
745.4782;0.010000988
745.4986;0.010464541
745.519;0.010148217
745.5395;0.011317962
745.5599;0.010035352
745.5803;0.0098252455
745.6008;0.009885156
745.6212;0.009683833
745.6416;0.009762693
745.6621;0.009309815
745.6825;0.008402871
745.7029;0.009893219
745.7234;0.008737159
745.7438;0.008311446
745.7642;0.008604855
745.7847;0.008451843
745.8051;0.007880059
745.8255;0.0085554775
745.846;0.007470256
745.8664;0.007457701
745.8868;0.006809874
745.9073;0.0066547464
745.9277;0.0071483096
745.9481;0.006062763
745.9686;0.0058730696
745.989;0.0056170924
746.0094;0.00527214
746.0299;0.004386991
746.0503;0.0043191304
746.0707;0.0038706441
746.0912;0.0032599038
746.1116;0.0033114364
746.132;0.002790647
746.1525;0.0022174
746.1729;0.0017402852
746.1933;0.0011168572
746.2138;0.0008145213
746.2342;0.00064239535
746.2546;
746.2751;0.000122063124
746.2955;-1.0942981e-05
746.3159;-0.00021381189
746.3364;-0.0010857857
746.3568;-0.00075301284
746.3772;-0.0010714523
746.3976;-0.0010232544
746.4181;-0.0011745599
746.4385;-0.00085740257
746.4589;0.0003619524
746.4794;-0.0048626596
746.4998;-0.0072629126
746.5202;-0.0068917517
746.5407;-0.0038374213
746.5611;0.00069313665
746.5815;0.0009093629
746.602;0.0005860436
746.6224;0.0011431254
746.6428;0.0015851246
746.6633;0.0024417462
746.6837;0.0021411178
746.7041;0.0024218392
746.7246;0.0028186187
746.745;0.0030797392
746.7654;0.002903709
746.7859;0.0035688789
746.8063;0.0032012342
746.8267;0.0036829226
746.8472;0.0030792574
746.8676;0.0038340532
746.888;0.0033544167
746.9085;0.004065457
746.9289;0.0038072828
746.9493;0.0031374146
746.9698;0.003016689
746.9902;0.003311643
747.0106;0.002770358
747.0311;0.0028488105
747.0515;0.002665623
747.0719;0.00251448
747.0924;0.0024773618
747.1128;0.0015904229
747.1332;0.0011566567
747.1537;0.0014823534
747.1741;0.0005477548
747.1945;0.0011707139
747.215;0.00033574502
747.2354;0.0003922382
747.2558;0.0003004661
747.2763;0.00081183994
747.2967;0.00053772517
747.3171;0.00013429514
747.3376;-0.00038795854
747.358;-0.00039368315
747.3784;-0.0009888088
747.3989;-0.0014246898
747.4193;-0.0015973042
747.4397;-0.0014716804
747.4602;-0.0017256252
747.4806;-0.0018092643
747.501;-0.0018653325
747.5215;-0.0024263808
747.5419;-0.0011966972
747.5623;-0.0018248431
747.5828;-0.0024839758
747.6032;-0.0026228384
747.6236;-0.0026904554
747.6441;-0.0021531372
747.6645;-0.0025953618
747.6849;-0.0025399262
747.7054;-0.0022108138
747.7258;-0.002268183
747.7462;-0.0020219465
747.7667;-0.0016232965
747.7871;-0.0014690444
747.8075;-0.00025814818
747.828;-0.000981044
747.8484;-0.00038687594
747.8688;3.576637e-05
747.8893;0.00048370243
747.9097;0.00040347912
747.9301;0.0010720644
747.9506;0.001378567
747.971;0.0019067761
747.9914;0.0023799245
748.0119;0.0024930234
748.0323;0.0028979357
748.0527;0.0033616498
748.0732;
748.0936;0.0033938747
748.114;0.0040981644
748.1345;0.0034180481
748.1549;0.0041882964
748.1753;0.0041327975
748.1958;0.0043716333
748.2162;0.004969949
748.2366;0.0044942973
748.2571;0.0050828536
748.2775;0.0051799305
748.2979;0.005058635
748.3184;0.0049347375
748.3388;0.005116642
748.3592;0.005103923
748.3797;0.005132763
748.4001;0.005088976
748.4205;0.005170844
748.441;0.0056294343
748.4614;0.0048047127
748.4818;0.0049647395
748.5023;0.005290517
748.5227;0.005022014
748.5431;0.0047322023
748.5636;0.0049559916
748.584;0.0044331686
748.6044;0.0042747054
748.6249;0.0046931184
748.6453;0.0044340496
748.6657;0.004449959
748.6862;0.0046241367
748.7066;0.0033966673
748.727;0.0029696513
748.7475;0.0026294147
748.7679;0.0022678697
748.7883;0.0018149092
748.8088;0.001800482
748.8292;0.0015116463
748.8496;0.0012709581
748.8701;0.00035425194
748.8905;0.0006444883
748.9109;0.0001920972
748.9314;-0.0006283138
748.9518;-0.0004987862
748.9722;-0.0010497497
748.9927;-0.0018972438
749.0131;-0.0024317785
749.0335;-0.0022220593
749.054;-0.00252342
749.0744;-0.003328866
749.0948;-0.004025655
749.1153;-0.004018367
749.1357;-0.0046439916
749.1561;-0.0048284805
749.1766;-0.005510386
749.197;-0.0055414857
749.2174;-0.0065380586
749.2379;
749.2583;-0.0072241435
749.2787;-0.0071003903
749.2992;-0.00768535
749.3196;-0.007483113
749.34;-0.007385792
749.3605;-0.0076752785
749.3809;-0.007913446
749.4013;-0.008099968
749.4218;-0.0075847716
749.4422;-0.0073156
749.4626;-0.0073055467
749.4831;-0.0070362124
749.5035;-0.0066857915
749.5239;-0.0064813583
749.5444;-0.0061394772
749.5648;-0.008796166
